1,300,500
2,422,500
3,223,500
4,381,500
5,251,500
6,186,500
7,929,500
8,817,500
9,884,500
10,1501,500
11,776,500
12,1051,500
13,905,500
14,582,500
15,449,500
16,383,500
17,1669,500
18,1802,500
19,421,500
20,592,500
21,503,500
22,492,500
23,468,500
24,951,500
25,1733,500
26,1297,500
27,1500,500
28,1589,500
29,1761,500
30,2918,500
31,1295,500
32,781,500
33,2310,500
34,1032,500
35,3917,500
36,2590,500
37,909,500
38,937,500
39,563,500
40,642,500
41,516,500
42,709,500
43,6140,500
44,1130,500
45,1424,500
46,1859,500
47,1632,500
48,3764,500
49,1651,500
50,910,500
51,1087,500
52,1457,500
53,2789,500
54,3387,500
55,1055,500
56,1013,500
57,745,500
58,682,500
59,1003,500
60,727,500
61,3626,500
62,1451,500
63,1125,500
64,790,500
65,876,500
66,925,500
67,1041,500
68,987,500
69,1363,500
70,1425,500
71,1035,500
72,818,500
73,1080,500
74,890,500
75,1221,500
76,1407,500
77,1582,500
78,1501,500
79,2388,500
80,5599,500
81,1996,500
82,1434,500
83,1500,500
84,1507,500
85,3878,500
86,2952,500
87,3030,500
88,1571,500
89,3571,500
90,604,500
91,4293,500
92,1081,500
